id;node_orig;node_dest
52;57732;5723
53;57732;5723
56;126984;4752
114;103701;24345
115;77160;79375
116;79375;77160
118;77160;81413
121;70537;59124
122;77160;53311
123;79510;77160
124;77160;79375
125;79375;77160
126;120733;24373
128;65248;22229
129;76064;17545
130;61273;1616
131;3085;100493
132;3599;3589
133;4475;3807
134;3589;63059
135;60729;22257
137;24373;75124
139;126994;89640
140;4749;3501
141;16541;76435
142;56635;64116
143;89640;3501
144;3304;16482
145;98140;86392
147;82596;3080
148;22253;65248
149;120733;24373
151;16749;73103
152;60657;4752
153;16483;3304
154;16916;13383
155;65248;22253
157;86392;61276
159;85337;3807
160;16745;64113
161;24373;120733
162;16745;233
163;60096;5524
164;233;64115
165;86366;85315
166;89640;3501
167;75201;3267
168;86504;59283
169;3607;58503
172;17545;79375
174;127332;60656
175;3304;16483
176;60656;127332
177;75152;75239
178;79375;77160
179;120733;3298
180;6614;162
182;5533;66113
184;65248;22253
185;16141;17090
186;63900;3300
188;88483;64100
189;7810;7739
190;63059;275
191;233;56142
192;57677;92348
194;64053;56812
195;273;4489
196;17090;15862
197;57985;1616
198;66113;61161
199;86884;86890
200;15867;16141
202;89350;55411
203;3535;85091
205;1446;127333
206;89348;16483
207;76933;79498
208;78256;10480
209;78256;79776
210;3305;87587
211;68157;61811
212;85201;6735
213;22253;65248
214;55414;85201
215;57466;8580
216;76064;17544
220;17545;77160
222;77160;81413
223;76918;77160
224;15367;49783
225;61023;68712
226;65248;22253
229;76064;17545
230;63059;3393
232;3406;61257
233;4264;51757
237;149555;127971
239;53712;11614
241;85337;3807
243;3535;15356
244;79776;45116
247;5205;16738
248;75098;82998
252;13999;3162
253;5533;60096
254;89640;14835
255;77043;79446
258;3162;10717
259;24132;61811
262;88902;6731
263;17545;88884
264;17312;56708
265;53073;1486
266;48178;57351
267;61811;77131
268;77160;79375
269;10717;51833
270;3305;85201
272;61361;85337
274;76698;61023
277;57351;64781
278;3535;4510
279;56828;88678
281;162068;127933
282;5245;64470
283;4331;77765
284;5559;4126
287;76064;65317
288;76255;11614
289;61023;61023
291;67492;160
293;160;3589
294;76255;11614
295;75128;28600
296;405;3162
298;61971;64100
299;92934;52706
300;127964;85232
301;136654;81527
303;86402;3589
304;77064;4475
305;4542;87429
306;88896;76747
307;65317;77160
309;77160;79375
310;5245;77162
311;62906;88622
314;16668;85073
315;79777;56197
316;56197;5514
319;103027;86704
330;55745;97272
331;64001;4401
333;5245;57351
334;77763;77765
335;65150;88909
336;4415;79392
337;62230;27575
338;4393;85138
339;57351;5245
343;51380;9757
345;84975;75151
346;18908;77713
347;79514;76447
348;77713;13383
349;88483;64100
350;65141;111625
352;65248;22253
353;5245;10398
354;5628;47579
355;85977;87020
356;76064;17545
358;4553;85076
359;30196;92989
360;49783;15367
361;78970;125
367;18784;16732
368;16732;18784
369;27634;63059
371;17312;55110
372;84955;5240
375;88848;148039
376;54760;68374
381;24373;88693
383;9757;51380
384;111625;68003
386;48533;65248
388;27078;77713
389;52761;76255
391;127615;88482
392;137666;11286
395;75102;4308
397;8140;113976
398;4387;63059
399;9221;79375
400;51757;61340
401;59909;4641
402;57551;6751
403;79394;78334
404;57711;4475
405;17223;4553
406;79375;77160
408;79400;9757
410;84975;75151
411;77713;75128
412;57985;57283
413;82161;86366
414;51779;61967
416;65141;111625
417;77102;4235
418;87429;22253
419;61967;273
421;12708;47579
422;67529;85884
423;1508;4750
424;61276;92989
425;76064;17545
426;52544;139148
427;76278;125
428;3614;9193
430;76255;11614
431;77769;98140
432;1486;83001
433;88482;139329
434;76058;61501
435;3586;61009
438;89235;52545
439;51572;4617
440;88604;76539
441;58837;60662
442;54760;23923
443;68374;54760
444;77027;77120
445;18618;33800
446;60928;4848
448;10621;90018
449;57985;77066
451;79770;4412
452;9757;51380
